fNight,PSF_deg,PSF_err_deg,number_muons
20120726,0.04349854518332068,4.946964062264873e-05,2650
20120727,0.049127047427095276,9.105780606496549e-05,942
20120808,0.048125327342365465,5.931419111595724e-05,2139
20120809,0.04711101671609718,4.1405474482605395e-05,4234
20120810,0.047479140801815006,8.532406590918687e-05,1010
20120812,0.049631667063089434,4.2000055192118966e-05,4514
20120813,0.048099520331401,6.06633118572541e-05,2043
20120821,0.04641449029535206,3.925544021567747e-05,4600
20120822,0.047847782926947253,3.188976255855284e-05,7326
20120913,0.04728320497589696,9.323876541383997e-05,840
20120916,0.04797934792572953,3.285896424712684e-05,6933
20120917,0.048129352152902316,2.6114995257595685e-05,11036
20120918,0.04859041507062798,3.3337103662011276e-05,6888
20120919,0.048638102011881165,2.4388319251811887e-05,12893
20120920,0.04935194765340129,2.8400056930173628e-05,9767
20120921,0.048310251913971834,2.8846339660080106e-05,9105
20120922,0.048059375813942005,3.2630097983553757e-05,7051
20120923,0.0504505357953856,5.038973649033948e-05,3238
20120924,0.05155175000415412,0.00010224943099632137,822
20120925,0.05288278117983602,0.00013139551116532854,526
20121003,0.05204940435957761,7.938044222163833e-05,1392
20121008,0.04814114312500531,3.8424116038436086e-05,5100
20121009,0.04854700973225328,3.095900278324615e-05,7974
20121010,0.04992980741276428,3.060308705737337e-05,8601
20121011,0.04965894467073905,2.876294057018061e-05,9635
20121012,0.04771276178297877,2.9396167131621478e-05,8580
20121015,0.05060710821989491,4.350999770968655e-05,4370
20121016,0.050975634795701136,3.2820821238721166e-05,7794
20121017,0.03891690542092445,0.000916213132041098,7
20121020,0.06073179160018127,0.0017893862167414221,4
20121021,0.0549769817639513,0.0014094084375008919,5
20121022,0.049692611115202644,4.901643413318975e-05,3322
20121024,0.0519221109511461,8.381710138029263e-05,1242
20121025,0.0496802772745843,5.3178549335202094e-05,2821
20121026,0.04993900560379797,6.735906144449822e-05,1776
20121112,0.04893844467840377,2.7673026846372264e-05,10127
20121113,0.05064478204268895,3.451738951430012e-05,6954
20121115,0.05052980762754256,3.270661854690524e-05,7710
20121117,0.05083330049212623,9.182737763643418e-05,990
20121118,0.05205460787281935,3.74422564709469e-05,6258
20121119,0.0505884833691612,3.7782628068634195e-05,5791
20121120,0.052271583384859314,4.9079671639631534e-05,3675
20121121,0.05311109408722986,5.4883149640816404e-05,3044
20121122,0.05265601127332002,6.484899584168072e-05,2139
20121123,0.05339932286678504,7.659608380805419e-05,1582
20121203,0.05196522981428932,7.600805897084264e-05,1513
20121205,0.05336764757700581,5.4005880223457364e-05,3178
20121206,0.05168854754877778,3.9013361922868696e-05,5678
20121207,0.05152462881602649,2.882048966504794e-05,10335
20121208,0.05308532909673889,2.549134370064518e-05,14095
20121209,0.05228075680496103,2.8967063150694813e-05,10554
20121210,0.052078838572153355,3.137196576281042e-05,8923
20121211,0.05131959936007864,4.476654114441797e-05,4248
20121213,0.05185596223936064,2.7222714660418878e-05,11742
20121214,0.05181964005732592,2.8502832314513882e-05,10695
20121215,0.05265213052029379,3.7946559350829705e-05,6246
20121216,0.05235116105658201,3.0256408163522762e-05,9702
20121217,0.05176925533264004,3.174158542473967e-05,8606
20121218,0.052777269088039154,3.715558176505083e-05,6549
20121220,0.05142876533242615,3.464063455841795e-05,7126
20121221,0.052292358849543245,3.7379952998958674e-05,6341
20121222,0.05149804834844364,4.449151006096522e-05,4332
20130102,0.053625371082066865,9.038875691539828e-05,1147
20130103,0.05387266624316388,6.477714123379154e-05,2257
